OBJECT_NAME,EPOCH,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,v_r_km_s,v_t_km_s
STARLINK-32953,2025-05-04T06:00:02.000160,-4648.839240938174,2193.0048414049807,-4439.935036535039,-4.322727326861555,-6.147197014476015,1.4897117144771617,8.95697426110953e-05,7.661151588462809
STARLINK-32951,2025-05-04T06:00:02.000160,-5657.351342230962,270.753304399283,-3695.689003966048,-2.362872371791623,-6.599321245626248,3.1323076845021056,0.0007062164522528835,7.677601036782219
STARLINK-32958,2025-05-04T06:00:02.000160,-4774.295337176591,2009.8683857925596,-4393.275249729962,-4.145429115674457,-6.226120951617332,1.656411167885408,0.00011027953644981991,7.6611267188438905
STARLINK-32928,2025-05-04T06:00:02.000160,-4894.485075693758,1824.383849308,-4341.666806789438,-3.9635178839334886,-6.298107019791467,1.8211772805632471,0.00033412482819783484,7.661090824719904
STARLINK-32687,2025-05-04T06:00:02.000160,-5723.871782018132,76.15223737012184,-3601.071193465602,-2.1468705556347114,-6.605836773156492,3.2711689261191843,0.0008354982377162118,7.677674003328632
STARLINK-32950,2025-05-04T06:00:02.000160,-438.363889645143,5366.27506623787,-4048.412694499394,-6.863945936392586,-2.432044394335064,-2.479832633424551,-0.0004048530372580128,7.692734460491163
STARLINK-32954,2025-05-04T06:00:02.000160,-5837.555090512973,-312.19672196019656,-3400.325019213063,-1.7086863923966789,-6.596569925256407,3.537187667756577,0.0009449698843914667,7.677632426101163
STARLINK-32940,2025-05-04T06:00:02.000160,-5784.113277324003,-118.27964424604306,-3502.6380219495086,-1.9287178701527357,-6.604731238954399,3.4060816373261984,0.0010138746045693647,7.677487769684535
STARLINK-32959,2025-05-03T22:00:01.999584,3538.4696081817283,-5212.759037973692,2497.713618044472,4.012699001061738,4.831027328518034,4.401039836724303,0.0012348855337527276,7.668750122510314
STARLINK-32956,2025-05-04T06:00:02.000160,4587.637967079318,2176.32661013074,4494.385130751706,-2.2242190655380245,7.232337542696201,-1.2321459438627314,-0.00025388392399960935,7.66629247717018
STARLINK-33722,2025-05-04T06:00:02.000160,-1807.5751507138289,-6088.951190206849,-2228.585191748355,5.259433358507318,-3.2420229035847266,4.587841511552272,0.0013819968559083406,7.695494758958285
STARLINK-33739,2025-05-04T06:00:02.000160,-1652.8811775211736,-6180.568684190506,-2092.847902320674,5.325410394809096,-3.007248351801001,4.6705874956112,0.0013972088542364425,7.695318325093364
STARLINK-33683,2025-05-04T06:00:02.000160,-1338.8326388028593,-6342.395044014418,-1815.006226381946,5.439366581262387,-2.529123344715805,4.820074848397462,0.0014606009674711373,7.695212349827596
STARLINK-33724,2025-05-04T06:00:02.000160,-1727.3271546924825,-6134.503052048499,-2157.5801325203074,5.295390310521389,-3.122152196609164,4.632289779974119,0.0017009032928596568,7.697213690169703
STARLINK-33732,2025-05-04T06:00:02.000160,-1496.9384311792746,-6264.887118315744,-1955.2393967196604,5.385317746065451,-2.7698768719874107,4.747899385775498,0.0012177004470892427,7.695220088256813
STARLINK-33800,2025-05-04T06:00:02.000160,-1179.3939837458545,-6412.776388547414,-1672.8306716673087,5.487361985836156,-2.285473262851476,4.886856661275224,0.0014236884966338792,7.695186521441165
STARLINK-33632,2025-05-04T06:00:02.000160,-694.1206156410202,-6580.5320099353685,-1236.0138252558318,5.59454853881755,-1.5409178079061894,5.053968092132253,0.0014845230120112962,7.695192805667078
STARLINK-33719,2025-05-04T06:00:02.000160,-1018.6784645916948,-6476.038868486656,-1528.9376951262047,5.529185976512959,-2.039372739063362,4.948039414801407,0.001389040724883328,7.695065357272574
STARLINK-33755,2025-04-30T22:13:26.757696,2602.7122659368447,4626.987020821931,4023.051656969189,-5.274584503959099,5.0988715412713805,-2.449524536917706,0.0014446782700536787,7.734332618504277
STARLINK-33752,2025-05-04T06:00:02.000160,-530.5768560071801,-6621.881292936047,-1087.418787475486,5.617863284588194,-1.2889017424846112,5.098416174400922,0.0015052425120751778,7.695160869516753
STARLINK-33714,2025-05-04T06:00:02.000160,-366.6094309800774,-6655.810565439691,-937.7371826700742,5.634917626788474,-1.0356076660144575,5.137151747967519,0.0014404281909465855,7.695135210339824
STARLINK-33814,2025-05-04T06:00:02.000160,-201.88740509320328,-6682.5402888775225,-786.7378849714656,5.645620962885878,-0.7806265477336796,5.170057664674675,0.001382760513108372,7.69492743355243
STARLINK-33817,2025-05-04T04:00:01.999584,-4586.367285866668,2917.0921945319665,-3968.0065352257993,-2.11527881780035,-6.914363673286822,-2.6376019934281167,-0.0003519879343114596,7.696737856737992
STARLINK-33820,2025-05-04T06:00:02.000160,456.49854964261294,-6713.962885712271,-176.4176723425712,5.626127353176048,0.2432794332202543,5.243888577169541,0.0014610221921849131,7.69485926784675
STARLINK-33813,2025-05-04T04:00:01.999584,-4645.661644271552,2713.201555062952,-4043.099435084002,-1.9388659502003809,-7.021994345901977,-2.4841210000607323,-0.00018166774816874565,7.6966527059927365
STARLINK-33834,2025-05-04T06:00:02.000160,620.0301907595134,-6703.307928387139,-23.007705059966675,5.605469023789644,0.4991398845322875,5.247588067997634,0.001327506756621466,7.694647644311797
